	text
0	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
1	"Translated(src=en, dest=en, text=RT @Msa_Makhaye: I wanna start this day so De Klerk can die again rot in hell Msunu kanyoko! https://t.co/PnOms1xuYt, pronunciation=RT @Msa_Makhaye: I wanna start this day so De Klerk can die again rot in hell Msunu kanyoko! https://t.co/PnOms1xuYt, extra_data=""{'translat..."")"
2	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
3	"Translated(src=zu, dest=en, text=In other words ..... Good luck to your mother. https://t.co/apnfUQc1EX, pronunciation=[[]], extra_data=""{'translat..."")"
4	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
5	"Translated(src=en, dest=en, text=I wanna restart this day so De Klerk can die again  rot in hell Msunu ka nyoko! https://t.co/PnOms1xuYt, pronunciation=I wanna restart this day so De Klerk can die again  rot in hell Msunu ka nyoko! https://t.co/PnOms1xuYt, extra_data=""{'translat..."")"
6	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
7	"Translated(src=zu, dest=en, text=@EffRonny Msunu wage, pronunciation=@EffRonny Msunu wage, extra_data=""{'translat..."")"
8	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
9	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
10	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
11	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
12	"Translated(src=af, dest=en, text=@TimesLIVE Voestek msunu ka Jan Van Riebeeck combined, pronunciation=@TimesLIVE Voestek msunu ka Jan Van Riebeeck combined, extra_data=""{'translat..."")"
13	"Translated(src=zu, dest=en, text=@FACEBOO___ @Julius_S_Malema @Ori_Debig_Beats Uyanya msunu, pronunciation=@FACEBOO___ @Julius_S_Malema @Ori_Debig_Beats Uyanya msunu, extra_data=""{'translat..."")"
14	"Translated(src=en, dest=en, text=RT @Ntsika9809: FW De Klerk, the last Apartheid President has died.
May the dog not be given a State funeral
May his remains be thrown in t…, pronunciation=RT @Ntsika9809: FW De Klerk, the last Apartheid President has died.
May the dog not be given a State funeral
May his remains be thrown in t…, extra_data=""{'translat..."")"
15	"Translated(src=ny, dest=en, text=RT @ ChrisExcel102: Your smile and your smile., pronunciation=RT @ ChrisExcel102: Your smile and your smile., extra_data=""{'translat..."")"
16	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
17	"Translated(src=zu, dest=en, text=@sne_fortune @ kimheller3 As for Msunu Ka nyoko 🤣🤣🤣, pronunciation=@sne_fortune @ kimheller3 As for Msunu Ka nyoko 🤣🤣🤣, extra_data=""{'translat..."")"
18	"Translated(src=zu, dest=en, text=He died a little. Msunu of separate development https://t.co/NKvTU2bRuj, pronunciation=[[]], extra_data=""{'translat..."")"
19	"Translated(src=zu, dest=en, text=RT @ClixWell: Rest in peace. Msunu kanyoko., pronunciation=[[]], extra_data=""{'translat..."")"
20	"Translated(src=sn, dest=en, text=@TsiripaM @uMaster_Sandz @tumisole @Julius_S_Malema Voestek msunu by Jan Van Riebeeck combined, pronunciation=@TsiripaM @uMaster_Sandz @tumisole @Julius_S_Malema Voestek msunu by Jan Van Riebeeck combined, extra_data=""{'translat..."")"
21	"Translated(src=en, dest=en, text=RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who w…, pronunciation=RT @MaloyiIsaac: Covid deaths are increasing and lockdown will be implemented and we as the EFF supporters will be irritated by those who w…, extra_data=""{'translat..."")"
